Full distribution from 5000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 1250000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
7,469,37339738
1,392,35469888
5,421,47466514
4,430,39921807
2,375,38116717
10,460,37917162
4,386,34201891
2,460,42230809
2,357,39564509
3,462,41372640
6,443,36967527
8,455,43611143
4,391,40550999
5,513,43320861
10,655,41406917
6,380,42156192
5,513,40646280
12,580,47072790
7,461,38704056
5,399,37126096
6,540,44125659
10,495,43930197
4,534,44700205
5,398,37231733
5,446,36122176
5,322,38482634
6,570,45758385
5,519,39618117
11,513,44808336
7,392,36951547
5,507,40732105
2,446,44807059
10,449,41657486
10,434,37693796
7,642,43400143
10,444,38526601
10,535,42906053
8,493,42499230
7,545,42203072
7,417,44611498
8,515,39109279
6,403,39147359
3,493,45689619
2,376,43519634
2,353,37280346
6,509,39388736
6,382,38687605
5,494,44036192
2,395,33848926
7,463,44414737
8,514,41263892
4,484,43336389
5,344,37040783
2,484,41727165
4,426,41163890
10,547,43300558
2,413,39841180
2,412,37429536
2,543,38841795
10,502,44923992
4,453,43723781
10,471,37235047
4,514,49752062
6,498,40111156
2,500,42197651
8,469,43586400
6,490,43885958
4,495,47388894
3,423,40897406
4,355,37843351
2,380,39108533
3,366,34533609
6,533,40604268
1,466,39799743
8,477,40213078
7,412,40767068
1,469,43851969
5,430,41314659
7,454,37724283
7,559,42449334
7,594,45808957
1,555,45752537
1,395,42954875
5,523,46282729
4,496,44458960
6,470,41521615
5,427,40696582
4,394,41742523
5,436,36026910
7,489,50800990
3,387,40104620
5,469,42169002
4,494,40343246
3,428,38302384
6,465,40900180
4,406,33527379
6,380,39200780
2,469,40584018
8,468,36704273
6,429,42675391
9,472,43973835
5,335,33306842
8,423,40728414
4,389,36692328
6,515,39848050
6,538,43009816
4,384,38578924
7,444,40700284
5,508,37464753
1,362,33035826
6,420,40659838
2,399,38430038
1,440,41922608
8,610,47984719
4,435,38330796
2,369,36860390
3,486,40307897
3,318,34035803
8,427,42704614
7,420,39016828
6,455,40480580
7,420,39159350
3,381,39864316
1,442,35995472
7,454,42567369
5,399,40188433
2,364,36340495
0,389,40631194
1,565,47046865
6,583,39972405
3,400,37902218
2,433,39574062
8,457,40818349
4,445,38154130
2,475,40986449
2,447,39904049
5,558,44483543
7,528,40279684
5,579,46713006
5,558,43072280
3,474,40566883
3,350,39879733
3,409,42804404
1,368,35991837
4,334,35156681
2,461,42069036
5,497,41496496
1,575,48637307
4,449,42036760
3,533,35431593
5,479,38874106
4,485,44079687
4,458,41005655
5,421,40061140
2,349,37525937
6,496,47115509
5,481,37595845
4,412,37527388
6,422,38063672
3,475,40244485
2,415,36139909
2,475,43450727
4,568,42678065
4,410,38285412
2,467,43473565
2,380,38113054
2,434,38750418
5,504,41149300
4,426,40907792
8,465,39574672
8,543,44999615
4,449,43220059
6,535,48012410
3,383,36851206
4,458,43111713
4,346,37620413
6,449,40465682
5,396,33761112
6,493,43053737
4,418,42324228
2,469,44842742
5,406,36947214
1,480,39649940
6,355,33719397
7,492,37657512
2,446,42676811
4,485,41292780
3,540,45182019
6,445,42065064
6,358,39597038
9,512,39094640
6,507,40927346
3,474,39994850
6,447,41349404
7,476,40187519
6,577,40082790
1,320,39380964
4,506,44108063
7,525,40752605
2,569,43229728
6,425,37682826
3,368,39675015
6,412,41539413
9,437,42226227
4,390,41821637
5,377,36645578
1,415,38991902
5,426,41588393
10,436,39811471
1,411,36706129
5,437,36726316
2,348,34839866
3,498,45574529
7,441,38834548
6,327,39639459
6,531,39990363
2,428,39543472
6,418,42059701
5,433,42372902
4,494,41815242
1,440,38426797
5,437,43406246
8,466,45072287
9,467,35539980
2,292,33952509
3,547,40763716
8,328,31784210
5,388,39707337
5,431,40549780
5,535,43541256
7,595,45975778
3,469,40354202
5,389,35655890
4,443,42550673
5,383,36314483
4,432,37209245
6,480,38766535
7,490,44774711
6,490,41038860
5,490,42025421
5,387,40688375
2,438,41995583
4,378,34783837
11,581,43074595
3,390,40572397
3,419,39492501
3,454,42131693
9,423,39504152
2,496,48931264
4,432,42749652
2,397,42407681
3,303,40280206
6,462,43807181
6,644,50631427
6,433,41540774
5,403,41290981
5,497,38416205
2,408,38360680
7,546,43767319
5,427,37911067
3,442,38399671
7,559,38341053
1,373,40339009
5,482,48218703
2,409,37627592
7,457,43267854
10,445,35822061
6,512,43015587
6,358,35675881
2,407,43361264
5,494,46750669
